handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
AVenkateshwar3,1,0,0,1,1,2,20,Wed May 10 11:54:51 2017,1.0
A_BHARATHITPT,0,2,0,2,2,2,2,Sun May 14 14:37:33 2017,1.0
A_Nanavaty,1,0,0,1,1,0,0,Sat May 13 15:22:58 2017,1.0
Aadarsh_sagar,1,0,0,1,1,0,0,Sun May 14 05:04:55 2017,1.0
AadityaChoudhr1,1,0,0,1,1,5,2,Sun May 14 02:25:37 2017,1.0
Aakanksha1406,1,0,0,1,1,2,101,Sun May 14 15:04:07 2017,1.0
Aanand44035663,2,0,0,2,3,2,21,Sat May 13 07:48:34 2017,0.666666666667
Aanchal02081994,1,0,0,1,1,0,0,Sun May 14 16:17:47 2017,1.0
AaoSkjain,0,5,0,5,5617,74,89,Sun Jul 26 12:03:31 2015,0.00089015488695
AaradhitaKaler,1,0,0,1,1,6,39,Sat May 13 17:11:36 2017,1.0
AaradhyaGupta8,1,0,0,1,1,3,1,Sun May 14 00:56:20 2017,1.0
AaratSharma,1,0,0,1,1,0,0,Sun May 14 07:41:45 2017,1.0
Aaratb,0,2,0,2,800,70,149,Mon Sep 16 13:07:33 2013,0.0025
AarathVG,1,0,0,1,19,9,27,Sun Mar 12 14:44:57 2017,0.0526315789474
AarathiG,1,1,0,2,2,0,0,Mon May 15 06:39:26 2017,1.0
AarathiNandyala,1,2,0,3,6,5,98,Sun May 14 01:11:27 2017,0.5
AaravSoaminagar,1,0,0,1,1,1,1,Sun May 14 10:33:13 2017,1.0
AarnaSrivastava,0,1,0,1,1,3,6,Sat May 13 09:08:15 2017,1.0
Aarti58029901,1,0,0,1,1,1,1,Sun May 14 08:52:06 2017,1.0
Aarti65199869,1,0,0,1,2,0,21,Sun May 14 04:26:43 2017,0.5
AartiChopra1969,1,0,0,1,1,23,53,Fri May 12 07:30:08 2017,1.0
AartiGu38928183,1,0,0,1,1,1,23,Thu May 11 07:21:47 2017,1.0
AartiKhattar2,1,0,0,1,1,2,50,Sat May 13 16:49:13 2017,1.0
AartiSharma1507,0,1,0,1,17,0,20,Sun May 14 00:34:19 2017,0.0588235294118
Aarti__saxena,1,0,0,1,4,0,23,Sun May 14 04:02:42 2017,0.25
AarushiMathur2,1,3,0,4,4,1,1,Sun May 14 05:09:28 2017,1.0
AaryanBajaj1,1,1,0,2,3,5,10,Sat May 13 15:44:30 2017,0.666666666667
AashaRa80479165,1,0,0,1,1,15,85,Sat May 13 18:00:07 2017,1.0
AashnaGaur,1,0,0,1,1,0,0,Sun May 14 05:24:44 2017,1.0
Aasthanurag,1,0,0,1,1,0,0,Sun May 14 14:45:53 2017,1.0
AayushC01,0,0,1,1,1,4,60,Sun May 14 02:27:49 2017,1.0
AbeerSri2009,1,1,0,2,2,0,1,Mon May 15 13:28:06 2017,1.0
AbhaGup45329457,0,1,0,1,18,2,2,Sun May 14 12:59:38 2017,0.0555555555556
AbhaMathur4,1,0,0,1,1,1,0,Sun May 14 00:46:04 2017,1.0
Abhay1937,1,0,0,1,5,3,1,Fri May 19 17:29:43 2017,0.2
AbhayKantGupta3,1,0,0,1,1,0,0,Sun May 14 04:33:41 2017,1.0
AbhayKu52108040,1,0,0,1,2,4,8,Sun May 14 02:09:31 2017,0.5
Abhi370uk,1,0,0,1,3,10,7,Thu May 11 06:14:24 2017,0.333333333333
Abhijee72215175,1,0,0,1,1,17,96,Sun May 14 04:51:45 2017,1.0
Abhijee98033567,1,0,0,1,1,0,0,Sun May 14 12:27:34 2017,1.0
AbhijeetSandhu3,0,1,0,1,18,16,57,Sun May 14 13:57:02 2017,0.0555555555556
Abhijim77,1,0,0,1,1,0,30,Sat May 13 15:31:01 2017,1.0
Abhilas20551862,1,0,0,1,1,1,1,Sun May 14 02:17:26 2017,1.0
Abhilas68787093,0,2,0,2,4,2,28,Thu May 11 14:11:09 2017,0.5
AbhinavBansiwa1,0,1,0,1,17,3,42,Mon May 15 17:58:38 2017,0.0588235294118
AbhinavS_S,0,1,0,1,2,0,2,Mon May 08 12:26:02 2017,0.5
AbhiruchiAnjan1,1,0,0,1,1,0,21,Sun May 14 02:41:13 2017,1.0
Abhishe00825405,1,0,0,1,1,0,0,Sun May 14 02:59:41 2017,1.0
Abhishe25642286,0,2,0,2,18,0,2,Sun May 14 03:02:55 2017,0.111111111111
Abhishe88651864,1,0,0,1,1,8,19,Sun May 14 01:07:58 2017,1.0
Abhishe95313636,1,0,0,1,1,0,0,Sun May 14 12:00:44 2017,1.0
Abhishe97013275,0,1,0,1,17,0,20,Sun May 14 04:03:16 2017,0.0588235294118
Abhishek202037,1,1,0,2,2,0,0,Fri May 19 06:27:19 2017,1.0
AbhishekViewly,1,0,0,1,4,0,20,Fri May 12 16:56:49 2017,0.25
Abhishek_k_,1,2,0,3,858,668,1048,Sun May 08 17:31:39 2011,0.0034965034965
AchalMogla,1,0,0,1,55,35,21,Wed Sep 16 05:35:12 2015,0.0181818181818
AchalNihar,1,0,0,1,1,0,1,Sun May 14 09:37:04 2017,1.0
AchalSadhna,1,0,0,1,1,0,0,Sun May 14 05:03:08 2017,1.0
AchalWalia,1,0,0,1,1,0,0,Fri May 12 15:27:16 2017,1.0
Achalasingh4,1,0,0,1,7,0,20,Sun May 14 09:22:59 2017,0.142857142857
AchintDua,1,0,0,1,4,0,0,Sat May 13 14:02:07 2017,0.25
AchintNarain,1,0,0,1,68,109,155,Thu Jul 30 15:19:01 2015,0.0147058823529
AchintSatsangi1,1,0,0,1,1,0,0,Sun May 14 04:39:10 2017,1.0
Achintgarg1,3,1,0,4,107,19,76,Fri Jul 22 08:22:16 2011,0.0373831775701
Achintsatsangi,0,1,0,1,541,92,176,Sat May 01 11:53:43 2010,0.00184842883549
AdanbaghB,0,1,0,1,5,2,0,Wed May 17 03:58:00 2017,0.2
Adarsh45399722,1,0,0,1,4,0,0,Wed May 10 15:26:26 2017,0.25
AdarshK15007302,1,0,0,1,1,30,74,Sun May 14 13:21:18 2017,1.0
AdarshS03915152,0,1,0,1,68,2,110,Sun May 14 04:25:59 2017,0.0147058823529
Adbhuti,1,0,0,1,4031,1069,1718,Tue Oct 29 13:49:26 2013,0.000248077400149
Adbhuti1,1,0,0,1,1,2,0,Sun May 14 10:55:48 2017,1.0
Adesh1008,1,0,0,1,1,0,17,Sun May 14 16:37:12 2017,1.0
AdeshKumari1,1,0,0,1,1,1,2,Sat May 13 14:22:15 2017,1.0
AdeshRoshan,1,0,0,1,1,0,0,Sun May 14 04:38:42 2017,1.0
AdharSant,0,1,0,1,19,7,34,Sat May 13 17:15:20 2017,0.0526315789474
AditiGarg1234,1,1,0,2,2,1,1,Sun May 14 12:40:53 2017,1.0
AditiGu93690165,0,1,0,1,2,0,1,Sun May 14 10:44:31 2017,0.5
AdityaChaganti8,0,1,0,1,18,5,67,Sun May 14 08:56:53 2017,0.0555555555556
AdityaS46035897,1,0,0,1,1,1,0,Mon May 15 06:51:06 2017,1.0
AdityaTalwar8,1,0,0,1,1,0,20,Sun May 14 04:43:12 2017,1.0
AdityachauhanR,0,1,0,1,539,31,50,Sat Apr 30 02:44:45 2016,0.00185528756957
AdvayArora,0,2,0,2,22,1,2,Sun May 14 00:49:31 2017,0.0909090909091
AdvayGugliani,1,0,0,1,1,0,2,Sun May 14 05:57:42 2017,1.0
Agam21474514,0,39,0,39,92,2,22,Sat May 13 23:00:41 2017,0.423913043478
AgamAgammehra,1,0,0,1,1,2,0,Sun May 14 03:35:41 2017,1.0
AgamChaitanya,1,1,0,2,2,5,56,Sun May 14 03:27:39 2017,1.0
AgamGarg7,1,0,0,1,1,1,80,Sun May 14 12:34:26 2017,1.0
AgamKSrivastav1,1,0,0,1,0,0,0,Thu May 11 12:42:45 2017,inf
AgamKap,1,0,0,1,1,6,7,Sun May 14 03:52:24 2017,1.0
AgamKum69505197,2,0,0,2,3,0,1,Sat May 13 11:32:37 2017,0.666666666667
AgamKushwaha4,1,0,0,1,1,4,0,Sun May 14 03:12:11 2017,1.0
AgamPoonam,0,2,0,2,5,1,27,Sat May 13 05:07:47 2017,0.4
AgamPrakash10,0,1,0,1,2,4,42,Sun May 14 03:24:51 2017,0.5
AgamSaran10,0,1,0,1,17,4,101,Sun May 14 14:18:29 2017,0.0588235294118
AgamSaran6,0,1,0,1,17,15,45,Sun May 14 14:10:07 2017,0.0588235294118
AgamSaxena10,1,0,0,1,1,1,0,Sun May 14 04:33:02 2017,1.0
AgamSha75435211,1,0,0,1,2,1,10,Sun May 14 03:43:10 2017,0.5
AgamSha77862143,1,0,0,1,1,0,1,Sat May 13 18:45:21 2017,1.0
AgamSha94970603,1,1,0,2,2,0,0,Sat May 13 15:50:10 2017,1.0
AgamSrivastav12,0,1,0,1,3,0,22,Sun May 14 12:23:57 2017,0.333333333333
AgamVerma11,0,2,0,2,20,8,3,Sat May 13 08:01:22 2017,0.1
AgamVerma13,1,0,0,1,1,1,0,Sun May 14 10:20:07 2017,1.0
Agam_4747,1,0,0,1,3,5,31,Sun May 14 03:04:33 2017,0.333333333333
Agamkapoor10,0,1,0,1,1,1,1,Sat May 13 16:04:56 2017,1.0
Agamsaroop84,1,0,0,1,1,3,0,Thu May 11 20:14:46 2017,1.0
Agamsatsangi1,0,1,0,1,18,1,1,Sun May 14 09:16:10 2017,0.0555555555556
Agamsharan2,0,4,0,4,10,8,88,Sun May 14 02:23:05 2017,0.4
Agamv2009,1,0,0,1,1,2,1,Sat May 13 17:11:02 2017,1.0
Agamyadav13,1,0,0,1,2,1,3,Wed May 10 14:29:50 2017,0.5
AgarwalArsh,1,0,0,1,1,7,58,Sun May 14 04:54:57 2017,1.0
Agent_Mcadam,0,1,0,1,2199,12995,724,Sun Sep 26 09:31:57 2010,0.000454752160073
