handle,Reply,Retweet,Tweet,#tweets,#followers,#friends,Joining Date
AhluwaliaDev,0,0,1,1,0,0,Sun May 14 12:39:43 2017
AhluwaliaRani,0,0,1,1,35,98,Sun May 14 04:43:34 2017
Aishwar51670654,0,1,0,6,34,95,Sun May 14 04:20:27 2017
AishwaryaKumaw1,1,0,0,1,0,1,Sun May 14 14:03:22 2017
Aishwaryav99,0,0,1,1,2,17,Thu May 11 21:24:22 2017
AjaiKum84232500,0,0,1,2,0,0,Wed May 10 15:35:23 2017
AjaibSaroop,0,0,1,2,0,0,Sun May 14 03:54:09 2017
Ajanakirani1,0,0,1,1,1,1,Sun May 14 01:43:11 2017
AjarPrakash1,0,0,1,1,1,1,Mon May 15 16:37:01 2017
Ajay51596487,0,0,1,1,4,22,Sat May 13 08:24:11 2017
Ajay521,0,1,0,2,0,1,Mon May 15 12:52:26 2017
AjayAhuja5870,0,0,1,11,10,9,Thu May 11 02:53:14 2017
AjayBha74088082,0,1,0,240,50,67,Wed Mar 15 16:17:39 2017
AjayBhutani7,0,1,2,14,2,6,Sat May 13 04:43:04 2017
AjayKir32880043,0,1,0,13,1,1,Sun May 14 00:24:13 2017
AjayKum16488559,0,1,0,3,0,1,Sun May 14 05:26:49 2017
AjayKum21548591,0,0,2,2,0,0,Sun May 14 13:15:47 2017
AjaySha89436228,0,0,1,1,0,21,Sat May 13 14:19:04 2017
AjaySin68571291,0,1,0,3,28,90,Sun May 14 05:31:28 2017
Ajaybhatnagar64,0,0,1,1,5,73,Thu May 11 07:34:50 2017
Ajaygupta_rs,0,1,0,1,0,22,Sun May 14 04:18:51 2017
Ajaypra67163321,0,1,0,3,0,80,Thu May 11 09:46:17 2017
Ajaysha53209962,0,1,0,2,3,67,Sun May 14 12:39:04 2017
Ajeet88104070,0,0,1,1,36,112,Sun May 14 04:38:27 2017
AjetMathur,0,0,1,1,7,20,Sun May 14 00:41:40 2017
AjitSri21287378,0,0,1,1,0,0,Sun May 14 04:20:21 2017
Ajitkm137,0,0,1,1,0,0,Fri May 12 03:36:14 2017
Ajitpra25804038,0,1,0,4,0,1,Sun May 14 15:56:23 2017
Akanksh64830765,0,0,2,2,0,0,Sun May 14 08:01:02 2017
Akash9211Saini,0,0,1,2,0,20,Sun May 14 03:57:25 2017
AkashGhai3,0,1,0,1,0,1,Sun May 14 04:16:12 2017
AkashSa41998945,0,0,1,1,2,22,Sun May 14 05:18:33 2017
AkellaChaitanya,0,0,1,1,2,1,Sun May 14 09:49:14 2017
AkellaSuparna,0,0,1,9,1,20,Sat May 13 14:40:38 2017
AkhilMistry3,0,6,2,25,26,96,Mon May 15 04:15:35 2017
AkhilaMandapati,0,1,0,1,2,2,Fri May 12 14:38:53 2017
Akhilabareddy,0,0,1,1,2,0,Sat May 13 14:53:26 2017
Akhiles95567577,0,1,0,17,3,20,Sun May 14 14:06:59 2017
AkhileshNigam18,0,1,1,2,0,0,Sat May 13 14:29:52 2017
Akhilesh_RS,0,1,1,3,8,22,Sat May 13 16:03:10 2017
AkleshY21026188,0,0,1,7,30,45,Sun May 14 07:04:18 2017
AksharGrover,0,0,1,1,2,3,Tue May 09 13:41:53 2017
AkshatM79184957,0,0,1,1,1,0,Sun May 14 03:17:08 2017
AkshatSatsangi,0,0,1,1,10,3,Thu May 11 18:07:26 2017
Akshay58953572,0,1,0,3,0,22,Sun May 14 05:10:38 2017
AkshayK12727116,0,0,1,1,0,1,Sun May 14 04:44:22 2017
AkshayS09963442,0,0,1,1,1,56,Sun May 14 16:05:55 2017
AkshayS76998888,0,1,0,10,0,1,Sun May 14 04:22:31 2017
Alakh2108,0,0,1,1,1,2,Sun May 14 07:54:47 2017
Alakh59830015,0,0,1,2,0,31,Sat May 13 12:21:36 2017
AlakhKumar2009,0,1,0,1,0,2,Sun May 14 04:30:41 2017
AlakhMy,0,1,1,3,1,6,Tue May 09 16:12:05 2017
AlakhSharma9,0,1,1,5,5,10,Sat May 13 18:09:40 2017
AlakhShri,0,2,0,41,3,2,Thu May 11 16:32:56 2017
AlakhSwaroop,0,0,2,8,3,23,Sat May 13 18:48:35 2017
AlakhTalwar,0,5,0,28,10,11,Sun May 14 03:07:45 2017
Alishakishore,0,6,1,20,21,6,Fri May 12 15:08:27 2017
Alivelu12,0,1,0,19,2,2,Wed May 17 12:40:38 2017
Alka27131985,0,5,0,23,0,1,Mon May 15 15:09:15 2017
Alka57344818,0,1,0,4,1,1,Mon May 15 13:38:13 2017
Alka9690,0,1,0,27,2,14,Thu May 11 09:22:21 2017
AlkaDhawan2,1,0,0,1,0,1,Sun May 14 05:03:06 2017
AlkaSri77813015,0,1,2,4,0,0,Sun May 14 04:43:30 2017
AlkaSri78001230,0,0,1,1,0,0,Sun May 14 05:07:59 2017
Alkaahuja14,0,0,1,1,0,22,Sat May 13 14:46:14 2017
Alkha45450703,0,0,1,1,0,0,Sun May 14 04:26:38 2017
AllamrajuSumira,0,0,2,2,1,2,Sat May 13 14:34:34 2017
AlluriLalitha,0,1,1,2,0,0,Sat May 13 01:50:00 2017
Alok8172,0,1,0,7,39,102,Tue May 09 04:23:27 2017
AlokAmar1,0,0,1,1,18,48,Sun May 14 05:13:18 2017
AlokAmar3,0,0,1,1,22,71,Sun May 14 05:15:07 2017
AlokNig36508557,0,0,2,3,2,1,Sat May 13 07:45:37 2017
AlokPChopraRN,0,0,1,1,0,0,Thu May 11 15:00:05 2017
AlokSharanShri,0,0,1,1,7,29,Sun May 14 04:36:26 2017
AlpanaShrivast2,0,0,1,2,3,71,Sun May 14 00:49:27 2017
Amal96257242,0,1,0,18,0,20,Sun May 14 16:34:13 2017
AmalSatsangi1,0,1,0,18,0,54,Sun May 14 15:33:00 2017
Aman01690461,0,0,1,1,1,21,Sun May 14 06:32:33 2017
AmanKetu9876,0,0,1,2,0,20,Sun May 14 05:40:04 2017
AmanKum84641443,0,0,1,1,0,21,Sun May 14 04:04:19 2017
AmanSah2017,0,58,1,87,13,78,Sun May 14 08:19:10 2017
AmanSheel,0,0,1,61,206,98,Sun Jun 30 10:21:52 2013
Amanarshsara,0,0,1,1,0,0,Sun May 14 16:20:12 2017
Amandeesing,0,1,0,4,0,20,Sun May 14 01:39:22 2017
Amanraj29090566,0,0,1,1,0,20,Sun May 14 00:35:13 2017
AmarMan2015,0,6,1,10,18,60,Sun May 14 02:55:30 2017
AmarRajKalam1,0,1,0,4,19,99,Sun May 14 02:41:33 2017
AmarSin90765064,0,0,1,2,0,1,Sun May 14 05:39:08 2017
Amaresh00227834,0,0,1,3,7,42,Sun May 07 12:18:11 2017
Amarjit79721898,0,0,2,17,0,1,Sat May 13 13:10:47 2017
Amarnad25027756,0,0,1,1,0,0,Sun May 14 01:08:00 2017
Amarnat78791080,0,1,0,4,0,1,Sun May 14 02:05:25 2017
Ambika61280037,0,1,1,2,2,21,Sat May 13 23:40:54 2017
AmbikaSrivast17,0,0,1,5,7,25,Sun May 28 04:58:23 2017
AmbikaY96315367,0,0,1,1,10,13,Sat May 13 10:04:07 2017
AmbitiousSumir,0,0,1,1,2,55,Sun May 07 18:35:24 2017
AmbrishKumarG10,1,0,0,2,2,1,Fri May 12 12:57:47 2017
AmeeSuri,0,0,1,1,0,0,Fri May 12 15:07:29 2017
Ameebhatia04,0,0,1,1,3,3,Sun May 14 04:39:40 2017
Amesh9Meena,0,0,1,1,0,21,Sat May 13 09:25:12 2017
Amesh9amesh,0,0,1,1,5,21,Sat May 13 04:20:51 2017
Ami45195972,0,0,1,4,0,1,Sun May 14 08:41:08 2017
AmiSatsangi,0,1,0,5,19,80,Sat May 13 04:25:24 2017
Ami_Aarti,0,0,1,1,3,1,Fri May 12 15:42:50 2017
Amirtha76453202,0,0,1,1,0,0,Sun May 14 16:35:41 2017
AmishaSrivast18,0,0,1,1,0,1,Sun May 14 06:17:23 2017
Amit19983025,0,0,1,1,0,0,Sun May 14 05:05:29 2017
Amit69981391,0,1,0,2,0,21,Sun May 14 13:13:43 2017
Amit82373876,0,0,1,1,23,42,Sun May 14 08:11:02 2017
AmitBha58199238,0,0,1,1,0,0,Sun May 14 00:18:21 2017
AmitGoyal7194,0,0,1,2,3,1,Sat May 13 09:02:41 2017
AmitGup08594029,0,0,1,2,3,1,Sun May 14 04:03:51 2017
AmitGupta150919,0,0,1,1,12,103,Sat May 13 08:21:11 2017
AmitKum35250729,0,0,1,1,0,0,Sun May 14 03:05:50 2017
AmitKum52300696,0,0,1,1,0,1,Sun May 14 03:23:14 2017
AmitKum72965785,0,1,0,5,0,1,Mon May 15 12:17:28 2017
