handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
AjayKum21548591,863744650959626241,2,0,0,2,2,0,0,Sun May 14 13:15:47 2017,1.0,0.66,0.637840909091,0.840246053348,0.56,0.361346662576,0.993714272013,0.793147133651,0.38
AjaySha89436228,863398191181557761,1,0,0,1,1,0,21,Sat May 13 14:19:04 2017,1.0,0.97,0.789786602043,0.840246053348,0.79,0.34,0.787951843463,0.793147133651,0.783886357497
AjaySin68571291,863398191181557761,0,1,0,1,3,28,90,Sun May 14 05:31:28 2017,0.333333333333,0.97,0.789786602043,0.840246053348,0.79,0.34,0.787951843463,0.793147133651,0.783886357497
Ajaybhatnagar64,862571686192750592,1,0,0,1,1,5,73,Thu May 11 07:34:50 2017,1.0,0.62,0.64,0.62,0.57,0.78,0.6,0.58,0.65
Ajaygupta_rs,863609529719640064,0,1,0,1,1,0,22,Sun May 14 04:18:51 2017,1.0,0.74,0.840104739086,0.797621863222,0.67,0.56,0.787951843463,0.445449085289,0.783886357497
Ajaypra67163321,862604765489807360,0,1,0,1,3,0,80,Thu May 11 09:46:17 2017,0.333333333333,0.65,0.66,0.507975680881,0.84,0.81,0.96211898489,0.6,0.538116591928
Ajaysha53209962,863735411905933312,0,1,0,1,2,3,67,Sun May 14 12:39:04 2017,0.5,0.78,0.68,0.776301438646,0.74,0.64,0.927560616628,0.88,0.56
Ajeet88104070,863614463030591488,1,0,0,1,1,36,112,Sun May 14 04:38:27 2017,1.0,0.8,0.983532829531,0.802706715068,0.9,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AjetMathur,863554874230927361,1,0,0,1,1,7,20,Sun May 14 00:41:40 2017,1.0,0.68,0.789786602043,0.840246053348,0.9,0.72,0.787951843463,0.793147133651,0.783886357497
AjitSri21287378,863609904346480640,1,0,0,1,1,0,0,Sun May 14 04:20:21 2017,1.0,0.96,0.789786602043,0.840246053348,0.83,0.48,0.787951843463,0.793147133651,0.783886357497
Ajitkm137,862874028104536064,1,0,0,1,1,0,0,Fri May 12 03:36:14 2017,1.0,0.65,0.67,0.626250860251,0.87,0.8625,0.97,0.27663956148,0.81
Ajitpra25804038,863785067285544960,0,1,0,1,4,0,1,Sun May 14 15:56:23 2017,0.25,0.5875,0.694285714286,0.875341386555,0.71,0.67,0.883648703186,0.78,0.597617021277
Akanksh64830765,863665442321289216,2,0,0,2,2,0,0,Sun May 14 08:01:02 2017,1.0,0.73,0.525634336321,0.840246053348,0.83,0.7,0.98,0.793147133651,0.42
Akash9211Saini,863604136234766336,1,0,0,1,2,0,20,Sun May 14 03:57:25 2017,0.5,0.71,0.31,0.840246053348,0.47,0.88,0.993714272013,0.793147133651,0.24
AkashGhai3,863608862955511809,0,1,0,1,1,0,1,Sun May 14 04:16:12 2017,1.0,0.788571428571,0.758687165775,0.797621863222,0.67,0.361346662576,0.787951843463,0.88,0.783886357497
AkashSa41998945,863624550801711104,1,0,0,1,1,2,22,Sun May 14 05:18:33 2017,1.0,0.8,0.983532829531,0.802706715068,0.9,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AkellaChaitanya,863692672518676480,1,0,0,1,1,2,1,Sun May 14 09:49:14 2017,1.0,0.52,0.973532829531,0.779441806516,0.97,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AkellaSuparna,863403618455736320,1,0,0,1,9,1,20,Sat May 13 14:40:38 2017,0.111111111111,0.71,0.64,0.624166666667,0.77,0.75,0.849968282762,0.647887906714,0.56
AkhilMistry3,863971095657033728,2,6,0,8,25,26,96,Mon May 15 04:15:35 2017,0.32,0.54,0.49,0.67,0.55,0.65,0.54,0.54,0.33
AkhilaMandapati,863040790381068288,0,1,0,1,1,2,2,Fri May 12 14:38:53 2017,1.0,0.788571428571,0.825792929293,0.797621863222,0.695,0.361346662576,0.787951843463,0.54,0.783886357497
Akhilabareddy,863406840431886336,1,0,0,1,1,2,0,Sat May 13 14:53:26 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Akhiles95567577,863757535072972800,0,1,0,1,17,3,20,Sun May 14 14:06:59 2017,0.0588235294118,0.72,0.55,0.89,0.81,0.6,0.910597963814,0.87,0.64
AkhileshNigam18,863400906968059904,1,1,0,2,2,0,0,Sat May 13 14:29:52 2017,1.0,0.73,0.51779342723,0.775604697263,0.83,0.78,0.787951843463,0.357956054231,0.57537486881
Akhilesh_RS,863424387835416576,1,1,0,2,3,8,22,Sat May 13 16:03:10 2017,0.666666666667,0.75,0.72,0.961054752865,0.75,0.58,0.945264571094,0.86,0.69
AkleshY21026188,863651163782119425,1,0,0,1,7,30,45,Sun May 14 07:04:18 2017,0.142857142857,0.65,0.72,0.775604697263,0.56,0.64,0.9,0.5,0.7
AksharGrover,861939280687407104,1,0,0,1,1,2,3,Tue May 09 13:41:53 2017,1.0,0.62,0.63,0.754166666667,0.63,0.75,0.8,0.39,0.61
AkshatM79184957,863593996739850240,1,0,0,1,1,1,0,Sun May 14 03:17:08 2017,1.0,0.99,0.789786602043,0.840246053348,0.98,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AkshatSatsangi,862730886835392512,1,0,0,1,1,10,3,Thu May 11 18:07:26 2017,1.0,0.79,0.789786602043,0.840246053348,0.95,0.16,0.787951843463,0.793147133651,0.783886357497
Akshay58953572,863622561040433154,0,1,0,1,3,0,22,Sun May 14 05:10:38 2017,0.333333333333,0.71,0.68,1.0,0.86,0.83,0.774184947478,0.88,0.648116591928
AkshayK12727116,863615948376260609,1,0,0,1,1,0,1,Sun May 14 04:44:22 2017,1.0,0.97,0.789786602043,0.840246053348,0.79,0.34,0.787951843463,0.793147133651,0.783886357497
AkshayS09963442,863787468423782400,1,0,0,1,1,1,56,Sun May 14 16:05:55 2017,1.0,0.9,0.789786602043,0.840246053348,0.9,0.57,0.787951843463,0.793147133651,0.783886357497
AkshayS76998888,863610452714164225,0,1,0,1,10,0,1,Sun May 14 04:22:31 2017,0.1,0.67,0.65,0.98,0.84,0.6,0.717140926583,0.87,0.63
Alakh2108,863663868089835520,1,0,0,1,1,1,2,Sun May 14 07:54:47 2017,1.0,0.97,0.789786602043,0.840246053348,0.7,0.34,0.787951843463,0.793147133651,0.783886357497
Alakh59830015,863368628565008386,1,0,0,1,2,0,31,Sat May 13 12:21:36 2017,0.5,0.81,0.66,0.797621863222,0.74,0.85,0.787951843463,0.88,0.6
AlakhKumar2009,863612505691570177,0,1,0,1,1,0,2,Sun May 14 04:30:41 2017,1.0,0.798571428571,0.861380952381,0.797621863222,0.65,0.97,0.787951843463,0.65,0.783886357497
AlakhMy,861977080208044033,1,1,0,2,3,1,6,Tue May 09 16:12:05 2017,0.666666666667,0.61,0.69,0.775604697263,0.595,0.361346662576,1.0,0.57,0.63
AlakhSharma9,863456221004652544,1,1,0,2,5,5,10,Sat May 13 18:09:40 2017,0.4,0.59,0.63,0.989090909091,0.72,0.77,0.866033640424,0.33,0.65
AlakhShri,862707104112455681,0,2,0,2,41,3,2,Thu May 11 16:32:56 2017,0.0487804878049,0.64,0.61,0.87,0.45,0.64,0.43,0.76,0.49
AlakhSwaroop,863466017808429057,2,0,0,2,8,3,23,Sat May 13 18:48:35 2017,0.25,0.46,0.45,0.663,0.825,0.66,0.77,0.39,0.38
AlakhTalwar,863591637393391621,0,5,0,5,28,10,11,Sun May 14 03:07:45 2017,0.178571428571,0.7,0.53,0.46,0.74,0.45,0.569342046986,0.71,0.65
Alishakishore,863048231516872708,1,6,0,7,20,21,6,Fri May 12 15:08:27 2017,0.35,0.57,0.37,0.79,0.55,0.46,0.6,0.55,0.54
Alivelu12,864822970300080128,0,1,0,1,19,2,2,Wed May 17 12:40:38 2017,0.0526315789474,0.56,0.65,0.79,0.65,0.49,0.62,0.64,0.42
Alka27131985,864135596620431360,0,5,0,5,23,0,1,Mon May 15 15:09:15 2017,0.217391304348,0.66,0.53,0.48,0.85,0.74,0.675133797034,0.477887906714,0.65
Alka57344818,864112687474593792,0,1,0,1,4,1,1,Mon May 15 13:38:13 2017,0.25,0.67,0.62,0.749305555556,0.88,0.82,0.892285635771,0.88,0.77
Alka9690,862598742985252864,0,1,0,1,27,2,14,Thu May 11 09:22:21 2017,0.037037037037,0.58,0.45,0.54,0.52,0.71,0.44,0.54,0.52
AlkaDhawan2,863620662450978816,0,0,1,1,1,0,1,Sun May 14 05:03:06 2017,1.0,0.93,0.833521895116,0.765439788732,0.87,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AlkaSri77813015,863615732357222401,2,1,0,3,4,0,0,Sun May 14 04:43:30 2017,0.75,0.66,0.68,0.5775,0.6,0.88,0.67,0.51,0.47
AlkaSri78001230,863621894108532736,1,0,0,1,1,0,0,Sun May 14 05:07:59 2017,1.0,0.79,0.789786602043,0.840246053348,0.9,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Alkaahuja14,863405028823801857,1,0,0,1,1,0,22,Sat May 13 14:46:14 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Alkha45450703,863611485687136256,1,0,0,1,1,0,0,Sun May 14 04:26:38 2017,1.0,0.7,0.789786602043,0.840246053348,0.86,0.94,0.787951843463,0.793147133651,0.783886357497
AllamrajuSumira,863402091703746561,2,0,0,2,2,1,2,Sat May 13 14:34:34 2017,1.0,0.64,0.8,0.840246053348,0.455,0.361346662576,0.98,0.793147133651,0.79
AlluriLalitha,863209681069539328,1,1,0,2,2,0,0,Sat May 13 01:50:00 2017,1.0,0.63,0.452361541108,0.797621863222,0.64,0.79,0.787951843463,0.7,0.65537486881
Alok8172,861798745708654592,0,1,0,1,7,39,102,Tue May 09 04:23:27 2017,0.142857142857,0.41,0.44,0.78,0.43,0.57,0.81,0.42,0.69
AlokAmar1,863623230921297920,1,0,0,1,1,18,48,Sun May 14 05:13:18 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AlokAmar3,863623689794969600,1,0,0,1,1,22,71,Sun May 14 05:15:07 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AlokNig36508557,863299175949230080,2,0,0,2,3,2,1,Sat May 13 07:45:37 2017,0.666666666667,0.52,0.56,0.627236652237,0.745,0.76,0.68,0.56,0.51
AlokPChopraRN,862683735593861121,1,0,0,1,1,0,0,Thu May 11 15:00:05 2017,1.0,0.79,0.789786602043,0.840246053348,0.74,0.09,0.787951843463,0.793147133651,0.783886357497
